Date,Open,High,Low,Close,Volume,close_time,volumes,orders,buy,sell,other
2020-02-21,256.97,268.24,253.61,265.27,525827.8734,1582329599999,137848242.42793050,214306,269791.13743000,70748990.19707250,0
2020-02-22,265.32,266.81,256.0,261.57,313062.52133,1582415999999,81781388.31935340,136810,156822.35067000,40974857.93911700,0
2020-02-23,261.55,275.68,261.02,274.48,444740.82883,1582502399999,120024058.97196630,178464,225478.68725000,60845374.19844940,0
2020-02-24,274.5,277.2,257.09,265.52,696591.72983,1582588799999,185949182.70858070,263161,330793.92829000,88287487.18652770,0
2020-02-25,265.47,266.22,244.44,246.67,774791.01027,1582675199999,197442911.54473170,277457,381947.38852000,97346482.22595150,0
2020-02-26,246.67,250.32,215.66,223.93,1395879.41507,1582761599999,324229460.62116020,454355,656347.55839000,152612432.44475370,0
2020-02-27,223.98,238.3,210.0,227.79,1273793.11658,1582847999999,287322727.29672570,415969,627806.95842000,141632481.67214530,0
2020-02-28,227.73,234.67,214.01,226.76,1054994.92397,1582934399999,236064804.33459430,347125,510185.33752000,114271376.01220230,0
2020-02-29,226.76,233.0,217.0,217.21,546866.6851,1583020799999,123635801.01782530,211771,276266.12871000,62479741.17673970,0
2020-03-01,217.29,227.89,212.36,217.81,715016.01941,1583107199999,157064953.84227790,265577,360047.11333000,79085739.01183300,0
2020-03-02,217.81,234.4,216.07,231.97,810051.4833,1583193599999,182948651.67645310,258680,402597.52232000,90992396.71547610,0
2020-03-03,232.1,232.46,219.57,223.91,741498.54825,1583279999999,168090325.53879240,253103,370933.36958000,84105282.69583100,0
2020-03-04,223.84,228.85,220.23,224.26,443780.33772,1583366399999,99650220.54162080,167247,218963.33645000,49186332.76661420,0
2020-03-05,224.26,234.09,224.23,228.38,601479.87587,1583452799999,138081898.28666810,227242,297495.35318000,68301116.79467770,0
2020-03-06,228.38,245.16,227.33,244.88,628147.3257,1583539199999,148563741.83299240,234091,328731.56561000,77799831.59926970,0
2020-03-07,244.93,251.93,236.0,237.23,633748.89662,1583625599999,154037325.61130680,238113,311459.94084000,75736818.09643840,0
2020-03-08,237.23,237.23,195.5,199.43,1278973.53741,1583711999999,277970187.86826010,412787,591086.61596000,128602756.90604900,0
2020-03-09,199.43,208.62,190.0,202.81,1661331.83553,1583798399999,332570408.53515290,473504,822023.18618000,164639631.82315350,0
2020-03-10,202.79,206.2,195.54,200.7,1020260.107,1583884799999,205536190.19393920,332398,501745.90774000,101099251.53024810,0
2020-03-11,200.74,203.18,181.73,194.61,1079824.90167,1583971199999,208232375.18620150,344156,539239.29222000,104024026.91909340,0
2020-03-12,194.61,195.55,101.2,107.82,3814533.14046,1584057599999,548668262.23472350,937284,1810764.23167000,260692153.17482450,0
2020-03-13,107.67,139.68,86.0,134.06,4663239.92861,1584143999999,560710331.84217540,1199923,2314458.37004000,278488985.95526650,0
2020-03-14,134.06,134.68,120.0,122.54,1237674.88642,1584230399999,159192895.55261970,398146,628481.86635000,80877487.98928390,0
2020-03-15,122.54,133.5,120.16,123.78,1312950.90137,1584316799999,163436235.26909020,346579,669525.68240000,83359166.35016240,0
2020-03-16,123.82,124.33,101.1,111.02,2442064.14448,1584403199999,270353891.80500360,663277,1191735.45431000,131882551.29453890,0
2020-03-17,111.02,120.8,109.38,115.67,1295108.4848,1584489599999,150800664.07195460,378258,654284.35784000,76179202.04303240,0
2020-03-18,115.67,118.5,109.86,118.11,1201850.31275,1584575999999,137550912.08551710,346312,604214.46019000,69185743.99493410,0
